year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,seasch,tract,meps_poverty_pct,meps_poverty_se,meps_poverty_ptl,meps_mod_poverty_pct,meps_mod_poverty_ptl,enrollment,read_test_pct_prof_midpt,math_test_pct_prof_midpt,grad_rate_midpt
mixed - most recent,370297001186,Albemarle Road Elementary,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-300,1910,32.3,0.989052,97,32.2,92,755,16,22,
mixed - most recent,370297001187,Albemarle Road Middle,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,600-301,1910,33.3,1.124818,99,33.2,93,897,31,21,
mixed - most recent,370297001188,Alexander Graham Middle,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,600-399,2906,0.8,1.318229,5,0.7,3,1270,54,51,
mixed - most recent,370297001190,Allenbrook Elementary,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-308,4304,32.7,0.991063,98,32.6,92,242,22,27,
mixed - most recent,370297002910,Ardrey Kell High School,NC,Charlotte-Mecklenburg Schools,High,Regular school,No,600-302,5844,0.3,0.735736,5,0.2,3,3494,86,91,97
mixed - most recent,370297001192,Ashley Park PreK-8 School,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-311,4000,33.2,0.920686,99,33.1,93,365,13,8,
mixed - most recent,370297002870,Bailey Middle,NC,Charlotte-Mecklenburg Schools,Middle,Regular school,No,600-313,6405,4.6,0.642264,12,4.5,14,1370,69,68,
mixed - most recent,370297001193,Bain Elementary,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-314,5714,7.8,0.477652,21,7.7,26,932,60,71,
mixed - most recent,370297003026,Ballantyne Elementary,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-437,5838,5.5,0.541215,14,5.4,17,880,59,64,
mixed - most recent,370297003023,Barnette Elementary,NC,Charlotte-Mecklenburg Schools,Primary,Regular school,No,600-328,6213,6.3,0.615357,16,6.2,20,700,53,51,
