GEOID,Total,Elementary,Middle,High,STATEFP20,COUNTYFP20,TRACTCE20,Total Students,Grade_Cluster_Elementary,Grade_Cluster_Middle,Grade_Cluster_High,market_share_total,market_share_elementary,market_share_middle,market_share_high,replaced_by_county_ms_elementary,replaced_by_county_ms_middle,replaced_by_county_ms_high
37119000101,1159,0,5,43,37,119,000101,17,7,6,4,0.014667817083692839,0.6925395620184098,0.46119611095851776,0.09302325581395349,1,1,0
37119000102,2409,69,9,92,37,119,000102,27,11,6,10,0.0112079701120797,0.15942028985507245,0.6666666666666666,0.10869565217391304,0,0,0
37119000103,2163,0,0,105,37,119,000103,32,15,3,14,0.014794267221451687,0.6925395620184098,0.46119611095851776,0.13333333333333333,1,1,0
37119000104,1256,0,0,0,37,119,000104,28,16,5,7,0.022292993630573247,0.6925395620184098,0.46119611095851776,0.5956669683734754,1,1,1
37119000301,703,0,0,0,37,119,000301,14,5,4,5,0.01991465149359886,0.6925395620184098,0.46119611095851776,0.5956669683734754,1,1,1
37119000302,895,0,31,78,37,119,000302,12,5,0,7,0.013407821229050279,0.6925395620184098,0,0.08974358974358974,1,0,0
37119000401,1678,0,0,21,37,119,000401,12,3,3,6,0.007151370679380214,0.6925395620184098,0.46119611095851776,0.2857142857142857,1,1,0
37119000402,2059,0,0,11,37,119,000402,18,6,8,4,0.008742107819329771,0.6925395620184098,0.46119611095851776,0.36363636363636365,1,1,0
37119000501,2100,0,0,157,37,119,000501,66,24,13,29,0.03142857142857143,0.6925395620184098,0.46119611095851776,0.18471337579617833,1,1,0
37119000502,1420,157,0,36,37,119,000502,72,32,24,16,0.05070422535211268,0.20382165605095542,0.46119611095851776,0.4444444444444444,0,1,0
37119000503,1674,0,0,123,37,119,000503,23,7,2,14,0.013739545997610514,0.6925395620184098,0.46119611095851776,0.11382113821138211,1,1,0
37119000600,2753,228,40,24,37,119,000600,190,97,47,46,0.06901561932437342,0.42543859649122806,0.46119611095851776,0.5956669683734754,0,1,1
37119000700,1373,0,31,16,37,119,000700,42,25,8,9,0.03058994901675164,0.6925395620184098,0.25806451612903225,0.5625,1,0,0
37119000800,2991,199,166,160,37,119,000800,340,169,74,97,0.11367435640254096,0.8492462311557789,0.4457831325301205,0.60625,0,0,0
