ncessch,school_name,lea_name,school_level,school_type,enrollment,teachers_fte,school_id,street_location,city_location,fips,tract,county_fips_geo,place_fips,free_or_reduced_price_lunch,meps_poverty_pct,meps_poverty_se,meps_poverty_ptl,meps_mod_poverty_pct,meps_mod_poverty_ptl,read_test_pct_prof_midpt,math_test_pct_prof_midpt,salaries_teachers,student_teacher_ratio,percent_frl_eligible,white,black,hispanic,asian,american_indian_or_alaska_native,native_hawaiian_or_other_pacific_islander,two_or_more_races,unknown,share_white,share_black,share_hisp,share_asian,tractce,geoid.x,name.x,namelsad,intptlat,intptlon,scl_pct_nonwhite,geoid.y,state,county,name.y,total_people,percent_hispanic,percent_nonhisp,percent_white_nonhisp,percent_black_nonhisp,percent_aian_nonhisp,percent_asian_nonhisp,percent_nhpi_nonhisp,percent_other_nonhisp,percent_two_or_more_nonhisp,total_units_in_structure,boat_rv_van,mobile_home,x50_plus_units,x20_to_49_units,x10_to_19_units,x5_to_9_units,x3_or_4_units,x2_units,x1_unit_attached_home,x1_unit_detached_home,percent_kids_under18,percent_kids_under6,percent_kids_6to17,housing_units,median_gross_rent,median_owner_cost_no_mortgage,median_owner_cost_mortgage,median_owner_cost,percent_renter_occupied,percent_owner_occupied,black_female_under5,black_female_5to9,black_female_10to14,black_female_15to17,black_male_under5,black_male_5to9,black_male_10to14,black_male_15to17,white_male_under5,white_male_5to9,white_male_10to14,white_male_15to17,white_female_under5,white_female_5to9,white_female_10to14,white_female_15to17,native_male_under5,native_male_5to9,native_male_10to14,native_male_15to17,native_female_under5,native_female_5to9,native_female_10to14,native_female_15to17,asian_male_under5,asian_male_5to9,asian_male_10to14,asian_male_15to17,asian_female_under5,asian_female_5to9,asian_female_10to14,asian_female_15to17,hisp_male_under5,hisp_male_5to9,hisp_male_10to14,hisp_male_15to17,hisp_female_under5,hisp_female_5to9,hisp_female_10to14,hisp_female15to17,nhpi_male_under5,nhpi_male_5to9,nhpi_male_10to14,nhpi_male_15to17,nhpi_female_under5,nhpi_female_5to9,nhpi_female_10to14,nhpi_female_15to17,other_male_under5,other_male_5to9,other_male_10to14,other_male_15to17,other_female_under5,other_female_5to9,other_female_10to14,other_female_15to17,tract_pct_nonwhite,test_sfh_pct,school_age_kids_in_tract,elementary,middle,high,statefp20,countyfp20,tractce20,total_students,grade_cluster_elementary,grade_cluster_middle,grade_cluster_high,market_share_total,market_share_elementary,market_share_middle,market_share_high,replaced_by_county_ms_elementary,replaced_by_county_ms_middle,replaced_by_county_ms_high
370297001186,Albemarle Road Elementary,Charlotte-Mecklenburg Schools,Primary,Regular school,755,51,3701186,7800 Riding Trail Rd,Charlotte,North Carolina,1910,37119,12000,742,32.3,0.989052,97,32.2,92,16,22,3577627,14.8,0.9827814569536424,14,209,406,113,2,0,11,0,0.018543046357615896,0.2768211920529801,0.5377483443708609,0.14966887417218544,001910,37119001910,19.10,Census Tract 19.10,+35.1946576,-080.7337135,98.1,37119001910,37,119,"Census Tract 19.10, Mecklenburg County, North Carolina",5512,0.37209724238026126,0.6279027576197388,0.10957910014513789,0.3289187227866473,0.00816400580551524,0.13697387518142234,0,0,0.04426705370101597,2050,0,0,17,279,442,290,22,0,30,970,1.1836206896551724,0.5810344827586207,0.6025862068965517,2050,992,453,1160,1082,0.5685967657798644,0.43140323422013566,105,50,39,11,19,0,47,49,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,59,37,0,12,13,17,0,43,148,28,70,53,210,149,118,60,0,0,0,0,0,0,0,0,102,0,55,53,44,54,70,60,89,47,1782,339,310,310,37,119,001910,972,433,229,310,0.17634252539912915,0.6925395620184098,0.7387096774193549,1,1,0,0
370297001187,Albemarle Road Middle,Charlotte-Mecklenburg Schools,Middle,Regular school,897,57,3701187,6900 Democracy Drive,Charlotte,North Carolina,1910,37119,12000,894,33.3,1.124818,99,33.2,93,31,21,3116841,15.7,0.9966555183946488,42,278,470,86,2,3,16,0,0.046822742474916385,0.30992196209587514,0.5239687848383501,0.09587513935340022,001910,37119001910,19.10,Census Tract 19.10,+35.1946576,-080.7337135,95.3,37119001910,37,119,"Census Tract 19.10, Mecklenburg County, North Carolina",5512,0.37209724238026126,0.6279027576197388,0.10957910014513789,0.3289187227866473,0.00816400580551524,0.13697387518142234,0,0,0.04426705370101597,2050,0,0,17,279,442,290,22,0,30,970,1.1836206896551724,0.5810344827586207,0.6025862068965517,2050,992,453,1160,1082,0.5685967657798644,0.43140323422013566,105,50,39,11,19,0,47,49,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,59,37,0,12,13,17,0,43,148,28,70,53,210,149,118,60,0,0,0,0,0,0,0,0,102,0,55,53,44,54,70,60,89,47,1782,339,310,310,37,119,001910,972,433,229,310,0.17634252539912915,0.6925395620184098,0.7387096774193549,1,1,0,0
370297001188,Alexander Graham Middle,Charlotte-Mecklenburg Schools,Middle,Regular school,1270,71,3701188,1800 Runnymede Lane,Charlotte,North Carolina,2906,37119,12000,353,0.8,1.318229,5,0.7,3,54,51,3729356,17.9,0.27795275590551183,484,314,398,35,3,1,35,0,0.38110236220472443,0.247244094488189,0.31338582677165355,0.027559055118110236,002909,37119002909,29.09,Census Tract 29.09,+35.1604255,-080.8316285,61.9,37119002909,37,119,"Census Tract 29.09, Mecklenburg County, North Carolina",1760,0,1,0.8755681818181819,0,0,0.0846590909090909,0,0,0.03977272727272727,974,0,0,385,0,0,198,134,0,63,194,1,0.185378590078329,0.814621409921671,974,1632,1252,2325,1666,0.6911421911421911,0.30885780885780884,0,0,0,0,0,0,0,0,16,12,93,43,26,0,84,40,0,0,0,0,0,0,0,0,29,19,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,20,383,52,177,96,37,119,002909,154,53,31,70,0.0875,0.6925395620184098,0.1751412429378531,0.7291666666666666,1,0,0
370297001190,Allenbrook Elementary,Charlotte-Mecklenburg Schools,Primary,Regular school,242,19,3701190,1430 Allenbrook Dr,Charlotte,North Carolina,4304,37119,12000,239,32.7,0.991063,98,32.6,92,22,27,1553079,12.7,0.987603305785124,9,141,52,30,0,1,9,0,0.0371900826446281,0.5826446280991735,0.21487603305785125,0.12396694214876033,004304,37119004304,43.04,Census Tract 43.04,+35.2676290,-080.9159747,96.3,37119004304,37,119,"Census Tract 43.04, Mecklenburg County, North Carolina",4490,0.1487750556792873,0.8512249443207127,0.05701559020044543,0.6746102449888641,0,0.09821826280623608,0,0,0.02138084632516703,1495,0,0,0,0,137,121,18,0,68,1151,1.4822043628013777,0.49598163030998854,0.9862227324913893,1495,991,393,1101,900,0.4637992831541219,0.5362007168458781,171,237,55,125,20,15,168,119,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,33,0,22,23,0,16,23,11,95,88,24,0,0,0,0,0,0,0,0,0,0,16,0,11,95,67,24,0,94.3,77,1531,395,282,316,37,119,004304,565,270,137,158,0.12583518930957685,0.6835443037974683,0.4858156028368794,0.5,0,0,0
370297002910,Ardrey Kell High School,Charlotte-Mecklenburg Schools,High,Regular school,3494,164,3702910,10220 Ardrey Kell Road,Charlotte,North Carolina,5844,37119,12000,168,0.3,0.735736,5,0.2,3,86,91,7385307,21.3,0.048082427017744706,1703,436,375,872,5,6,97,0,0.48740698340011446,0.1247853463079565,0.10732684602175158,0.249570692615913,005863,37119005863,58.63,Census Tract 58.63,+35.0299645,-080.8335292,51.3,37119005863,37,119,"Census Tract 58.63, Mecklenburg County, North Carolina",3950,0.04556962025316456,0.9544303797468354,0.6326582278481012,0.1362025316455696,0,0.16050632911392404,0,0.0010126582278481,0.0240506329113924,1286,0,0,137,0,36,0,0,0,108,1005,1.0122050447518307,0.25711960943856793,0.7550854353132628,1286,1832,473,1964,1822,0.2931570762052877,0.7068429237947123,92,17,119,0,0,0,84,0,52,96,65,42,104,101,107,69,0,0,0,0,0,0,0,0,0,23,22,12,26,17,10,31,16,20,31,0,0,0,24,10,0,0,0,0,0,0,0,0,16,9,14,0,0,0,14,0,36.7,78,1243,274,486,222,37,119,005863,719,254,174,291,0.1820253164556962,0.927007299270073,0.35802469135802467,0.5956669683734754,0,0,1
370297001192,Ashley Park PreK-8 School,Charlotte-Mecklenburg Schools,Primary,Regular school,365,34,3701192,2401 Belfast Dr,Charlotte,North Carolina,4000,37119,12000,357,33.2,0.920686,99,33.1,93,13,8,1874651,10.7,0.9780821917808219,2,289,58,7,2,0,7,0,0.005479452054794521,0.7917808219178082,0.1589041095890411,0.019178082191780823,004000,37119004000,40,Census Tract 40,+35.2334149,-080.9112968,99.5,37119004000,37,119,"Census Tract 40, Mecklenburg County, North Carolina",4448,0.06182553956834532,0.9381744604316546,0.1443345323741007,0.6492805755395683,0.00539568345323741,0.07598920863309352,0,0.00696942446043165,0.05620503597122302,1973,0,73,43,0,41,22,109,92,294,1299,1.0443514644351464,0.2610878661087866,0.7832635983263598,1973,1073,390,886,758,0.5435868961687951,0.45641310383120487,134,219,24,58,97,127,263,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15,0,0,9,0,0,17,0,0,19,0,15,16,0,0,0,0,0,0,0,0,0,17,0,11,19,0,15,16,85.6,66,1199,399,424,286,37,119,004000,669,286,161,222,0.1504046762589928,0.7167919799498746,0.3797169811320754,0.7762237762237763,0,0,0
370297002870,Bailey Middle,Charlotte-Mecklenburg Schools,Middle,Regular school,1370,79,3702870,11900 Bailey Rd,Cornelius,North Carolina,6405,37119,14700,141,4.6,0.642264,12,4.5,14,69,68,4305484,17.3,0.10291970802919707,915,149,216,51,1,3,35,0,0.6678832116788321,0.10875912408759124,0.15766423357664233,0.03722627737226277,006409,37119006409,64.09,Census Tract 64.09,+35.4710454,-080.8362803,33.2,37119006409,37,119,"Census Tract 64.09, Mecklenburg County, North Carolina",3059,0.0205949656750572,0.9794050343249427,0.9225237005557372,0.05230467473030402,0,0.0045766590389016,0,0,0,1672,0,0,388,46,10,0,8,15,225,980,1,0.17301038062283736,0.8269896193771626,1672,1221,497,2120,1667,0.2767336357744653,0.7232663642255347,0,0,0,0,0,0,0,0,39,125,57,70,0,69,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,59,578,194,180,325,37,119,006409,341,125,86,130,0.11147433801896044,0.6443298969072165,0.4777777777777778,0.4,0,0,0
370297001193,Bain Elementary,Charlotte-Mecklenburg Schools,Primary,Regular school,932,57,3701193,11540 Bain School Rd,Mint Hill,North Carolina,5714,37119,43480,114,7.8,0.477652,21,7.7,26,60,71,2901230,16.4,0.1223175965665236,577,154,116,41,0,1,43,0,0.619098712446352,0.16523605150214593,0.12446351931330472,0.043991416309012876,005714,37119005714,57.14,Census Tract 57.14,+35.1838506,-080.6144334,38.1,37119005714,37,119,"Census Tract 57.14, Mecklenburg County, North Carolina",6141,0.02410030939586386,0.9758996906041362,0.7987298485588666,0.09998371600716496,0,0.04217554144276177,0,0.00113987949845302,0.03387070509688975,2241,0,12,0,0,0,0,0,0,51,2178,1.0529513888888888,0.3480902777777778,0.7048611111111112,2241,1398,576,2012,1550,0.06712018140589569,0.9328798185941044,0,10,43,0,42,11,30,12,213,110,112,183,109,78,124,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,19,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,20.1,97,1219,224,331,580,37,119,005714,708,343,147,218,0.11529066927210552,0.6925395620184098,0.4441087613293051,0.3758620689655172,1,0,0
370297003026,Ballantyne Elementary,Charlotte-Mecklenburg Schools,Primary,Regular school,880,55,3703026,15425 Scholastic Dr,Charlotte,North Carolina,5838,37119,12000,87,5.5,0.541215,14,5.4,17,59,64,2283068,16,0.09886363636363636,290,151,100,301,3,1,34,0,0.32954545454545453,0.1715909090909091,0.11363636363636363,0.34204545454545454,005858,37119005858,58.58,Census Tract 58.58,+35.0140318,-080.8400251,67,37119005858,37,119,"Census Tract 58.58, Mecklenburg County, North Carolina",4112,0.13278210116731518,0.8672178988326849,0.4438229571984435,0.1622081712062257,0,0.2441634241245136,0,0,0.01702334630350194,1628,0,0,117,140,0,111,43,0,646,571,1.011764705882353,0.27563025210084036,0.7361344537815127,1628,1752,562,1598,1475,0.5854956753160346,0.4145043246839654,17,0,72,0,31,95,65,0,34,69,140,72,25,0,59,19,0,0,0,0,0,0,0,0,40,137,63,13,20,5,101,89,89,60,0,23,61,0,1,21,0,0,0,0,0,0,0,0,89,0,0,0,60,0,0,0,55.6,35,1570,323,501,300,37,119,005858,1035,442,254,339,0.2517023346303502,0.6925395620184098,0.5069860279441117,0.5956669683734754,1,0,1
370297003023,Barnette Elementary,Charlotte-Mecklenburg Schools,Primary,Regular school,700,43,3703023,13659 Beatties Ford Rd,Huntersville,North Carolina,6213,37119,33120,90,6.3,0.615357,16,6.2,20,53,51,2141990,16.3,0.12857142857142856,372,153,103,30,4,0,38,0,0.5314285714285715,0.21857142857142858,0.14714285714285713,0.04285714285714286,006222,37119006222,62.22,Census Tract 62.22,+35.3872901,-080.9476367,46.9,37119006222,37,119,"Census Tract 62.22, Mecklenburg County, North Carolina",3960,0.02373737373737373,0.9762626262626264,0.7926767676767676,0.13333333333333333,0,0.04065656565656565,0,0,0.00959595959595959,1378,0,32,0,0,0,0,0,0,0,1346,1.0375586854460097,0.23380281690140844,0.8037558685446009,1378,784,695,1740,1587,0.08200290275761973,0.9179970972423802,0,24,0,0,0,111,111,43,55,84,93,64,114,149,79,84,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,20,0,0,34,14,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,98,1105,368,343,288,37,119,006222,375,178,89,108,0.0946969696969697,0.483695652173913,0.2594752186588921,0.375,0,0,0
